date,team1,team1pts,team2,team2pts
2014-12-30,WAS,87.0,DAL,114.0
2014-12-30,LAL,111.0,DEN,103.0
2014-12-30,PHI,86.0,GSW,126.0
2014-12-30,SAS,87.0,MEM,95.0
2014-12-30,PHO,106.0,NOP,110.0
2014-12-30,DET,109.0,ORL,86.0
2014-12-30,TOR,97.0,POR,102.0
2014-12-30,MIN,94.0,UTA,100.0
2014-12-31,SAC,84.0,BOS,106.0
2014-12-31,MIL,96.0,CLE,80.0
2014-12-31,CHO,83.0,HOU,102.0
2014-12-31,MIA,95.0,IND,106.0
2014-12-31,NYK,78.0,LAC,99.0
2014-12-31,PHO,134.0,OKC,137.0
2014-12-31,NOP,93.0,SAS,95.0
2015-01-01,DEN,101.0,CHI,106.0
2015-01-01,SAC,110.0,MIN,107.0
2015-01-02,DAL,119.0,BOS,101.0
2015-01-02,CLE,91.0,CHO,87.0
2015-01-02,TOR,105.0,GSW,126.0
2015-01-02,MEM,109.0,LAL,106.0
2015-01-02,IND,94.0,MIL,91.0
2015-01-02,HOU,83.0,NOP,111.0
2015-01-02,DET,97.0,NYK,81.0
2015-01-02,WAS,102.0,OKC,109.0
2015-01-02,BRK,100.0,ORL,98.0
2015-01-02,PHI,96.0,PHO,112.0
2015-01-02,ATL,98.0,UTA,92.0
2015-01-03,BOS,104.0,CHI,109.0
2015-01-03,MEM,85.0,DEN,114.0
2015-01-03,MIA,79.0,HOU,115.0
2015-01-03,PHI,91.0,LAC,127.0
2015-01-03,UTA,101.0,MIN,89.0
2015-01-03,CHO,98.0,ORL,90.0
2015-01-03,ATL,115.0,POR,107.0
2015-01-03,WAS,92.0,SAS,101.0
2015-01-04,DAL,109.0,CLE,90.0
2015-01-04,SAC,95.0,DET,114.0
2015-01-04,IND,87.0,LAL,88.0
2015-01-04,BRK,84.0,MIA,88.0
2015-01-04,MIL,95.0,NYK,82.0
2015-01-04,TOR,109.0,PHO,125.0
2015-01-05,CHO,104.0,BOS,95.0
2015-01-05,DAL,96.0,BRK,88.0
2015-01-05,HOU,105.0,CHI,114.0
2015-01-05,OKC,91.0,GSW,117.0
2015-01-05,ATL,107.0,LAC,98.0
2015-01-05,NYK,83.0,MEM,105.0
2015-01-05,DEN,110.0,MIN,101.0
2015-01-05,WAS,92.0,NOP,85.0
2015-01-05,CLE,92.0,PHI,95.0
2015-01-05,LAL,94.0,POR,98.0
2015-01-05,IND,105.0,UTA,101.0
2015-01-06,PHO,102.0,MIL,96.0
2015-01-06,DET,105.0,SAS,104.0
2015-01-07,MEM,86.0,ATL,96.0
2015-01-07,BOS,89.0,BRK,81.0
2015-01-07,UTA,97.0,CHI,77.0
2015-01-07,NOP,94.0,CHO,98.0
2015-01-07,HOU,105.0,CLE,93.0
2015-01-07,DET,108.0,DAL,95.0
2015-01-07,ORL,90.0,DEN,93.0
2015-01-07,IND,102.0,GSW,117.0
2015-01-07,LAL,89.0,LAC,114.0
2015-01-07,PHO,113.0,MIN,111.0
2015-01-07,MIL,97.0,PHI,77.0
2015-01-07,OKC,83.0,SAC,104.0
2015-01-07,NYK,91.0,WAS,101.0
2015-01-08,HOU,120.0,NYK,96.0
2015-01-08,MIA,83.0,POR,99.0
2015-01-08,CHO,103.0,TOR,95.0
2015-01-09,PHI,90.0,BRK,88.0
2015-01-09,ATL,106.0,DET,103.0
2015-01-09,CLE,94.0,GSW,112.0
2015-01-09,BOS,103.0,IND,107.0
2015-01-09,ORL,84.0,LAL,101.0
2015-01-09,MIN,84.0,MIL,98.0
2015-01-09,MEM,95.0,NOP,106.0
2015-01-09,UTA,94.0,OKC,99.0
2015-01-09,DEN,118.0,SAC,108.0
2015-01-09,PHO,95.0,SAS,100.0
2015-01-09,CHI,86.0,WAS,102.0
2015-01-10,MIL,87.0,CHI,95.0
2015-01-10,BRK,93.0,DET,98.0
2015-01-10,UTA,82.0,HOU,97.0
2015-01-10,DAL,100.0,LAC,120.0
2015-01-10,SAS,108.0,MIN,93.0
2015-01-10,CHO,110.0,NYK,82.0
2015-01-10,IND,92.0,PHI,93.0
2015-01-10,ORL,92.0,POR,103.0
2015-01-10,BOS,96.0,TOR,109.0
2015-01-11,WAS,89.0,ATL,120.0
2015-01-11,MIA,104.0,LAC,90.0
2015-01-11,POR,106.0,LAL,94.0
2015-01-11,PHO,110.0,MEM,122.0
2015-01-11,CLE,84.0,SAC,103.0
2015-01-12,NOP,100.0,BOS,108.0
2015-01-12,HOU,113.0,BRK,99.0
2015-01-12,ORL,121.0,CHI,114.0
2015-01-12,DET,114.0,TOR,111.0
2015-01-13,MIN,110.0,IND,101.0
2015-01-13,MIA,78.0,LAL,75.0
2015-01-13,ATL,105.0,PHI,87.0
2015-01-13,CLE,100.0,PHO,107.0
2015-01-13,DAL,108.0,SAC,104.0
2015-01-13,GSW,116.0,UTA,105.0
2015-01-13,SAS,93.0,WAS,101.0
2015-01-14,ATL,105.0,BOS,91.0
2015-01-14,MEM,103.0,BRK,92.0
2015-01-14,WAS,105.0,CHI,99.0
2015-01-14,SAS,98.0,CHO,93.0
2015-01-14,DAL,107.0,DEN,114.0
2015-01-14,NOP,105.0,DET,94.0
2015-01-14,MIA,89.0,GSW,104.0
2015-01-14,HOU,113.0,ORL,120.0
2015-01-14,LAC,100.0,POR,94.0
2015-01-14,PHI,84.0,TOR,100.0
2015-01-15,OKC,101.0,HOU,112.0
2015-01-15,CLE,109.0,LAL,102.0
2015-01-15,NYK,79.0,MIL,95.0
2015-01-16,CHI,119.0,BOS,103.0
2015-01-16,DEN,89.0,DAL,97.0
